,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|subject_id[ET_09],0.026,0.045,-0.063,0.115,0.001,0.001,2427.0,2292.0,1.0
1|subject_id[ET_118],0.073,0.045,-0.014,0.163,0.001,0.001,2385.0,2408.0,1.0
1|subject_id[ET_23],0.02,0.045,-0.071,0.108,0.001,0.001,2410.0,2103.0,1.0
1|subject_id[ET_24],-0.006,0.045,-0.096,0.083,0.001,0.001,2378.0,2182.0,1.0
1|subject_id[ET_37],-0.226,0.045,-0.318,-0.138,0.001,0.001,2460.0,2288.0,1.0
1|subject_id[ET_51],0.077,0.045,-0.013,0.164,0.001,0.001,2417.0,2168.0,1.0
1|subject_id[ET_67],-0.117,0.045,-0.211,-0.031,0.001,0.001,2416.0,2151.0,1.0
1|subject_id[ET_82],0.181,0.045,0.092,0.27,0.001,0.001,2373.0,2258.0,1.0
1|subject_id[ET_83],-0.086,0.045,-0.175,0.003,0.001,0.001,2425.0,2188.0,1.0
1|subject_id[ET_97],0.049,0.045,-0.039,0.14,0.001,0.001,2356.0,2090.0,1.0
1|subject_id_sigma,0.137,0.04,0.073,0.216,0.001,0.001,2672.0,2515.0,1.0
Intercept,5.348,0.044,5.258,5.434,0.001,0.001,2342.0,2182.0,1.0
last_in_line,0.009,0.009,-0.009,0.027,0.0,0.0,16821.0,10966.0,1.0
log_lex_freq,-0.056,0.005,-0.065,-0.047,0.0,0.0,10546.0,9746.0,1.0
sigma,0.406,0.002,0.402,0.409,0.0,0.0,14246.0,9881.0,1.0
surprisal,0.032,0.003,0.026,0.037,0.0,0.0,14146.0,11328.0,1.0
word_length,0.067,0.004,0.06,0.075,0.0,0.0,11177.0,9981.0,1.0
