,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|subject_id[ET_01],0.005,0.017,-0.03,0.038,0.002,0.001,112.0,290.0,1.04
1|subject_id[ET_02],0.1,0.017,0.066,0.132,0.002,0.001,104.0,277.0,1.04
1|subject_id[ET_03],0.166,0.017,0.132,0.197,0.002,0.001,102.0,248.0,1.04
1|subject_id[ET_04],-0.055,0.018,-0.09,-0.021,0.002,0.001,114.0,279.0,1.04
1|subject_id[ET_05],0.017,0.018,-0.019,0.049,0.002,0.001,121.0,316.0,1.04
1|subject_id[ET_06],-0.166,0.017,-0.201,-0.133,0.002,0.001,112.0,278.0,1.04
1|subject_id[ET_07],-0.152,0.017,-0.187,-0.119,0.002,0.001,113.0,271.0,1.04
1|subject_id[ET_08],-0.235,0.018,-0.27,-0.201,0.002,0.001,115.0,279.0,1.03
1|subject_id[ET_09],-0.032,0.018,-0.067,0.003,0.002,0.001,117.0,243.0,1.04
1|subject_id[ET_10],0.105,0.017,0.072,0.139,0.002,0.001,111.0,281.0,1.04
1|subject_id[ET_100],0.038,0.018,0.001,0.071,0.002,0.001,120.0,276.0,1.03
1|subject_id[ET_101],0.165,0.017,0.131,0.198,0.002,0.001,109.0,251.0,1.04
1|subject_id[ET_102],-0.173,0.018,-0.206,-0.138,0.002,0.001,109.0,274.0,1.04
1|subject_id[ET_103],-0.084,0.017,-0.118,-0.051,0.002,0.001,111.0,230.0,1.04
1|subject_id[ET_104],-0.07,0.017,-0.105,-0.037,0.002,0.001,108.0,245.0,1.04
1|subject_id[ET_105],-0.155,0.018,-0.189,-0.12,0.002,0.001,116.0,283.0,1.04
1|subject_id[ET_106],-0.049,0.018,-0.087,-0.017,0.002,0.001,110.0,303.0,1.04
1|subject_id[ET_107],0.131,0.017,0.095,0.162,0.002,0.001,112.0,258.0,1.04
1|subject_id[ET_108],-0.017,0.017,-0.05,0.016,0.002,0.001,107.0,221.0,1.04
1|subject_id[ET_109],-0.137,0.019,-0.174,-0.101,0.002,0.001,121.0,289.0,1.03
1|subject_id[ET_11],-0.117,0.017,-0.152,-0.085,0.002,0.001,114.0,265.0,1.04
1|subject_id[ET_110],-0.13,0.019,-0.168,-0.093,0.002,0.001,140.0,368.0,1.03
1|subject_id[ET_111],-0.055,0.018,-0.089,-0.022,0.002,0.001,115.0,271.0,1.03
1|subject_id[ET_112],0.266,0.017,0.233,0.299,0.002,0.001,109.0,225.0,1.04
1|subject_id[ET_113],0.046,0.017,0.011,0.077,0.002,0.001,105.0,280.0,1.04
1|subject_id[ET_114],-0.079,0.017,-0.112,-0.045,0.002,0.001,116.0,244.0,1.04
1|subject_id[ET_115],-0.155,0.018,-0.191,-0.122,0.002,0.001,114.0,283.0,1.04
1|subject_id[ET_116],-0.201,0.017,-0.237,-0.169,0.002,0.001,113.0,278.0,1.04
1|subject_id[ET_117],-0.088,0.018,-0.124,-0.055,0.002,0.001,114.0,289.0,1.04
1|subject_id[ET_118],0.017,0.017,-0.017,0.051,0.002,0.001,112.0,253.0,1.04
1|subject_id[ET_119],0.259,0.017,0.225,0.293,0.002,0.001,111.0,251.0,1.04
1|subject_id[ET_12],-0.011,0.017,-0.045,0.023,0.002,0.001,109.0,287.0,1.04
1|subject_id[ET_13],0.016,0.018,-0.019,0.05,0.002,0.001,118.0,301.0,1.03
1|subject_id[ET_14],0.027,0.017,-0.008,0.058,0.002,0.001,106.0,219.0,1.04
1|subject_id[ET_15],0.026,0.018,-0.01,0.059,0.002,0.001,120.0,325.0,1.03
1|subject_id[ET_16],-0.012,0.018,-0.048,0.022,0.002,0.001,118.0,265.0,1.04
1|subject_id[ET_17],-0.153,0.019,-0.19,-0.118,0.002,0.001,129.0,307.0,1.03
1|subject_id[ET_18],0.042,0.017,0.008,0.076,0.002,0.001,110.0,231.0,1.04
1|subject_id[ET_20],-0.195,0.017,-0.231,-0.165,0.002,0.001,106.0,246.0,1.04
1|subject_id[ET_21],0.083,0.018,0.048,0.116,0.002,0.001,112.0,310.0,1.04
