,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|subject_id[ET_01],-0.009,0.018,-0.045,0.025,0.002,0.001,115.0,184.0,1.02
1|subject_id[ET_02],0.089,0.017,0.055,0.123,0.002,0.001,111.0,181.0,1.02
1|subject_id[ET_03],0.146,0.017,0.113,0.179,0.002,0.001,108.0,157.0,1.02
1|subject_id[ET_04],-0.05,0.018,-0.087,-0.017,0.002,0.001,119.0,203.0,1.02
1|subject_id[ET_05],0.019,0.018,-0.017,0.053,0.002,0.001,125.0,237.0,1.02
1|subject_id[ET_06],-0.161,0.018,-0.198,-0.127,0.002,0.001,118.0,189.0,1.02
1|subject_id[ET_07],-0.16,0.018,-0.196,-0.126,0.002,0.001,119.0,205.0,1.02
1|subject_id[ET_08],-0.227,0.018,-0.263,-0.193,0.002,0.001,120.0,210.0,1.02
1|subject_id[ET_09],-0.031,0.018,-0.066,0.004,0.002,0.001,122.0,227.0,1.02
1|subject_id[ET_10],0.101,0.017,0.066,0.135,0.002,0.001,112.0,187.0,1.02
1|subject_id[ET_100],0.048,0.018,0.011,0.084,0.002,0.001,125.0,235.0,1.02
1|subject_id[ET_101],0.16,0.017,0.124,0.193,0.002,0.001,114.0,188.0,1.02
1|subject_id[ET_102],-0.172,0.018,-0.208,-0.139,0.002,0.001,117.0,217.0,1.02
1|subject_id[ET_103],-0.086,0.018,-0.12,-0.051,0.002,0.001,117.0,191.0,1.02
1|subject_id[ET_104],-0.071,0.017,-0.104,-0.035,0.002,0.001,113.0,207.0,1.02
1|subject_id[ET_105],-0.159,0.018,-0.195,-0.125,0.002,0.001,117.0,186.0,1.02
1|subject_id[ET_106],-0.037,0.018,-0.074,-0.002,0.002,0.001,123.0,191.0,1.02
1|subject_id[ET_107],0.127,0.017,0.093,0.161,0.002,0.001,113.0,182.0,1.02
1|subject_id[ET_108],-0.029,0.017,-0.065,0.004,0.002,0.001,108.0,168.0,1.02
1|subject_id[ET_109],-0.124,0.019,-0.161,-0.087,0.002,0.001,128.0,219.0,1.02
1|subject_id[ET_11],-0.113,0.018,-0.15,-0.08,0.002,0.001,123.0,204.0,1.02
1|subject_id[ET_110],-0.119,0.019,-0.157,-0.081,0.002,0.001,144.0,279.0,1.02
1|subject_id[ET_111],-0.048,0.018,-0.083,-0.014,0.002,0.001,116.0,208.0,1.02
1|subject_id[ET_112],0.248,0.017,0.211,0.28,0.002,0.001,113.0,170.0,1.02
1|subject_id[ET_113],0.036,0.018,0.001,0.072,0.002,0.001,115.0,207.0,1.02
1|subject_id[ET_114],-0.077,0.018,-0.112,-0.042,0.002,0.001,117.0,187.0,1.02
1|subject_id[ET_115],-0.151,0.018,-0.184,-0.112,0.002,0.001,123.0,214.0,1.02
1|subject_id[ET_116],-0.211,0.017,-0.246,-0.177,0.002,0.001,113.0,188.0,1.02
1|subject_id[ET_117],-0.075,0.018,-0.11,-0.039,0.002,0.001,120.0,205.0,1.02
1|subject_id[ET_118],0.016,0.018,-0.019,0.05,0.002,0.001,113.0,187.0,1.02
1|subject_id[ET_119],0.253,0.018,0.219,0.288,0.002,0.001,118.0,178.0,1.02
1|subject_id[ET_12],-0.005,0.018,-0.041,0.028,0.002,0.001,118.0,183.0,1.02
1|subject_id[ET_13],0.024,0.018,-0.011,0.059,0.002,0.001,120.0,192.0,1.02
1|subject_id[ET_14],0.018,0.017,-0.017,0.051,0.002,0.001,109.0,197.0,1.02
1|subject_id[ET_15],0.033,0.018,-0.001,0.071,0.002,0.001,126.0,221.0,1.02
1|subject_id[ET_16],-0.003,0.018,-0.037,0.035,0.002,0.001,122.0,190.0,1.02
1|subject_id[ET_17],-0.145,0.019,-0.18,-0.107,0.002,0.001,135.0,247.0,1.02
1|subject_id[ET_18],0.04,0.017,0.007,0.075,0.002,0.001,115.0,219.0,1.02
1|subject_id[ET_20],-0.203,0.017,-0.237,-0.17,0.002,0.001,113.0,155.0,1.02
1|subject_id[ET_21],0.082,0.018,0.045,0.116,0.002,0.001,120.0,198.0,1.02
1|subject_id[ET_22],-0.029,0.018,-0.062,0.007,0.002,0.001,114.0,183.0,1.02
1|subject_id[ET_23],-0.031,0.018,-0.067,0.003,0.002,0.001,113.0,200.0,1.02
1|subject_id[ET_24],-0.065,0.017,-0.101,-0.032,0.002,0.001,116.0,172.0,1.02
1|subject_id[ET_25],0.063,0.017,0.029,0.098,0.002,0.001,108.0,157.0,1.02
1|subject_id[ET_26],-0.064,0.018,-0.101,-0.031,0.002,0.001,117.0,205.0,1.02
1|subject_id[ET_28],-0.077,0.018,-0.112,-0.041,0.002,0.001,125.0,237.0,1.02
1|subject_id[ET_29],-0.12,0.018,-0.155,-0.086,0.002,0.001,119.0,197.0,1.02
1|subject_id[ET_31],-0.019,0.018,-0.054,0.016,0.002,0.001,121.0,234.0,1.02
1|subject_id[ET_32],-0.336,0.018,-0.373,-0.302,0.002,0.001,124.0,214.0,1.02
1|subject_id[ET_33],0.256,0.018,0.223,0.294,0.002,0.001,124.0,212.0,1.02
1|subject_id[ET_34],0.207,0.017,0.173,0.242,0.002,0.001,115.0,210.0,1.02
1|subject_id[ET_35],-0.16,0.017,-0.196,-0.128,0.002,0.001,113.0,176.0,1.02
1|subject_id[ET_37],-0.269,0.019,-0.307,-0.233,0.002,0.001,132.0,247.0,1.02
1|subject_id[ET_38],-0.105,0.018,-0.141,-0.071,0.002,0.001,115.0,172.0,1.02
1|subject_id[ET_39],0.183,0.017,0.149,0.219,0.002,0.001,112.0,182.0,1.02
1|subject_id[ET_42],0.026,0.018,-0.011,0.061,0.002,0.001,123.0,203.0,1.02
1|subject_id[ET_44],0.197,0.017,0.163,0.232,0.002,0.001,115.0,190.0,1.02
1|subject_id[ET_46],0.017,0.018,-0.02,0.052,0.002,0.001,120.0,180.0,1.02
1|subject_id[ET_48],-0.095,0.018,-0.13,-0.058,0.002,0.001,122.0,227.0,1.02
1|subject_id[ET_49],0.022,0.018,-0.016,0.055,0.002,0.001,120.0,239.0,1.02
1|subject_id[ET_50],0.187,0.017,0.152,0.221,0.002,0.001,115.0,211.0,1.02
1|subject_id[ET_51],0.025,0.018,-0.011,0.059,0.002,0.001,115.0,222.0,1.02
1|subject_id[ET_52],-0.111,0.017,-0.146,-0.077,0.002,0.001,111.0,182.0,1.02
1|subject_id[ET_53],0.083,0.017,0.047,0.116,0.002,0.001,111.0,158.0,1.02
1|subject_id[ET_54],-0.028,0.017,-0.063,0.005,0.002,0.001,108.0,168.0,1.02
1|subject_id[ET_55],-0.13,0.018,-0.165,-0.095,0.002,0.001,123.0,195.0,1.02
1|subject_id[ET_56],0.11,0.017,0.076,0.144,0.002,0.001,114.0,185.0,1.02
1|subject_id[ET_57],0.177,0.017,0.142,0.21,0.002,0.001,113.0,185.0,1.02
1|subject_id[ET_58],0.155,0.017,0.12,0.188,0.002,0.001,112.0,213.0,1.02
1|subject_id[ET_59],-0.154,0.018,-0.188,-0.118,0.002,0.001,120.0,165.0,1.02
1|subject_id[ET_61],0.111,0.018,0.076,0.148,0.002,0.001,120.0,211.0,1.02
1|subject_id[ET_62],-0.032,0.017,-0.066,0.002,0.002,0.001,110.0,193.0,1.02
1|subject_id[ET_63],0.034,0.018,0.0,0.069,0.002,0.001,116.0,191.0,1.02
1|subject_id[ET_64],-0.02,0.017,-0.055,0.014,0.002,0.001,111.0,165.0,1.02
1|subject_id[ET_65],-0.007,0.018,-0.042,0.027,0.002,0.001,118.0,199.0,1.02
1|subject_id[ET_66],0.046,0.017,0.013,0.079,0.002,0.001,105.0,162.0,1.02
1|subject_id[ET_67],-0.177,0.018,-0.213,-0.142,0.002,0.001,124.0,200.0,1.02
1|subject_id[ET_68],0.075,0.017,0.04,0.109,0.002,0.001,111.0,181.0,1.02
1|subject_id[ET_69],0.096,0.017,0.062,0.13,0.002,0.001,116.0,199.0,1.02
1|subject_id[ET_70],0.125,0.018,0.089,0.16,0.002,0.001,119.0,205.0,1.02
1|subject_id[ET_71],-0.115,0.018,-0.15,-0.081,0.002,0.001,113.0,190.0,1.02
1|subject_id[ET_72],-0.091,0.018,-0.126,-0.057,0.002,0.001,116.0,201.0,1.02
1|subject_id[ET_73],-0.051,0.018,-0.087,-0.016,0.002,0.001,116.0,195.0,1.02
1|subject_id[ET_74],0.043,0.018,0.007,0.077,0.002,0.001,117.0,190.0,1.02
1|subject_id[ET_75],0.073,0.017,0.039,0.108,0.002,0.001,111.0,200.0,1.02
1|subject_id[ET_76],0.53,0.017,0.495,0.564,0.002,0.001,112.0,182.0,1.02
1|subject_id[ET_77],0.043,0.017,0.01,0.079,0.002,0.001,112.0,182.0,1.02
1|subject_id[ET_78],0.029,0.018,-0.005,0.063,0.002,0.001,115.0,182.0,1.02
1|subject_id[ET_80],0.078,0.017,0.043,0.112,0.002,0.001,116.0,189.0,1.02
1|subject_id[ET_81],0.219,0.017,0.184,0.251,0.002,0.001,110.0,177.0,1.02
1|subject_id[ET_82],0.126,0.018,0.092,0.163,0.002,0.001,119.0,206.0,1.02
1|subject_id[ET_83],-0.141,0.018,-0.176,-0.105,0.002,0.001,125.0,217.0,1.02
1|subject_id[ET_84],0.219,0.018,0.182,0.253,0.002,0.001,124.0,221.0,1.02
1|subject_id[ET_85],-0.272,0.018,-0.306,-0.236,0.002,0.001,119.0,197.0,1.02
1|subject_id[ET_86],0.196,0.017,0.163,0.232,0.002,0.001,113.0,189.0,1.02
1|subject_id[ET_87],0.134,0.018,0.097,0.167,0.002,0.001,124.0,208.0,1.02
1|subject_id[ET_88],-0.051,0.018,-0.086,-0.015,0.002,0.001,117.0,190.0,1.02
1|subject_id[ET_89],-0.11,0.018,-0.146,-0.075,0.002,0.001,124.0,220.0,1.02
1|subject_id[ET_90],-0.009,0.018,-0.043,0.027,0.002,0.001,120.0,199.0,1.02
1|subject_id[ET_91],0.063,0.018,0.027,0.1,0.002,0.001,122.0,212.0,1.02
1|subject_id[ET_92],0.108,0.018,0.073,0.143,0.002,0.001,120.0,209.0,1.02
1|subject_id[ET_93],-0.058,0.018,-0.096,-0.025,0.002,0.001,119.0,223.0,1.02
1|subject_id[ET_94],-0.064,0.018,-0.1,-0.031,0.002,0.001,114.0,177.0,1.02
1|subject_id[ET_95],0.069,0.018,0.032,0.104,0.002,0.001,121.0,224.0,1.02
1|subject_id[ET_96],0.102,0.018,0.069,0.139,0.002,0.001,121.0,197.0,1.02
1|subject_id[ET_97],-0.015,0.017,-0.05,0.018,0.002,0.001,115.0,176.0,1.02
1|subject_id[ET_98],-0.118,0.018,-0.152,-0.084,0.002,0.001,115.0,168.0,1.02
1|subject_id_sigma,0.137,0.009,0.12,0.156,0.001,0.0,198.0,657.0,1.01
Intercept,5.438,0.015,5.409,5.467,0.002,0.001,84.0,107.0,1.03
sigma,0.446,0.001,0.445,0.448,0.0,0.0,10602.0,5388.0,1.0
surprisal_gpt2,0.103,0.002,0.099,0.106,0.0,0.0,6586.0,6034.0,1.0
surprisal_llama2_13b,-0.012,0.004,-0.02,-0.004,0.0,0.0,4387.0,5227.0,1.0
surprisal_mistral_base,-0.018,0.004,-0.026,-0.01,0.0,0.0,4561.0,5473.0,1.0
surprisal_opt_1_3b,0.001,0.003,-0.004,0.007,0.0,0.0,6609.0,5629.0,1.0
surprisal_phi2,-0.008,0.002,-0.011,-0.004,0.0,0.0,7357.0,5442.0,1.0
surprisal_pythia_12b,0.019,0.002,0.015,0.024,0.0,0.0,6508.0,4913.0,1.0
