,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|subject_id[ET_01],0.009,0.024,-0.038,0.051,0.009,0.003,8.0,24.0,1.48
1|subject_id[ET_02],0.033,0.024,-0.012,0.075,0.009,0.003,8.0,20.0,1.48
1|subject_id[ET_03],0.296,0.023,0.249,0.335,0.009,0.004,7.0,14.0,1.5
1|subject_id[ET_04],-0.101,0.023,-0.146,-0.059,0.008,0.003,8.0,25.0,1.42
1|subject_id[ET_05],0.036,0.024,-0.014,0.079,0.009,0.004,8.0,20.0,1.46
1|subject_id[ET_06],-0.242,0.024,-0.291,-0.202,0.008,0.003,8.0,19.0,1.42
1|subject_id[ET_07],-0.159,0.022,-0.201,-0.118,0.008,0.003,8.0,26.0,1.44
1|subject_id[ET_08],-0.213,0.024,-0.26,-0.169,0.009,0.003,8.0,23.0,1.43
1|subject_id[ET_09],-0.033,0.024,-0.078,0.013,0.009,0.003,8.0,28.0,1.44
1|subject_id[ET_10],0.068,0.025,0.017,0.111,0.009,0.004,8.0,27.0,1.47
1|subject_id[ET_100],-0.066,0.025,-0.118,-0.022,0.009,0.003,8.0,24.0,1.46
1|subject_id[ET_101],0.147,0.024,0.1,0.187,0.009,0.003,8.0,20.0,1.49
1|subject_id[ET_102],-0.194,0.025,-0.24,-0.148,0.009,0.003,8.0,27.0,1.47
1|subject_id[ET_103],0.028,0.024,-0.018,0.07,0.009,0.003,8.0,20.0,1.46
1|subject_id[ET_104],-0.125,0.025,-0.171,-0.079,0.009,0.003,8.0,71.0,1.47
1|subject_id[ET_105],-0.01,0.024,-0.056,0.034,0.009,0.003,8.0,27.0,1.46
1|subject_id[ET_106],-0.066,0.024,-0.115,-0.024,0.009,0.004,8.0,28.0,1.47
1|subject_id[ET_107],0.045,0.024,-0.0,0.087,0.009,0.003,8.0,19.0,1.48
1|subject_id[ET_108],-0.026,0.024,-0.069,0.018,0.009,0.003,7.0,16.0,1.51
1|subject_id[ET_109],-0.213,0.026,-0.262,-0.165,0.009,0.003,8.0,17.0,1.42
1|subject_id[ET_11],0.014,0.024,-0.032,0.054,0.009,0.003,8.0,16.0,1.49
1|subject_id[ET_110],-0.149,0.026,-0.201,-0.104,0.009,0.004,8.0,28.0,1.42
1|subject_id[ET_111],-0.116,0.024,-0.162,-0.07,0.009,0.003,8.0,24.0,1.46
1|subject_id[ET_112],0.224,0.024,0.176,0.268,0.009,0.004,8.0,15.0,1.49
1|subject_id[ET_113],-0.026,0.024,-0.076,0.015,0.009,0.004,8.0,16.0,1.47
1|subject_id[ET_114],-0.111,0.024,-0.158,-0.07,0.009,0.003,8.0,23.0,1.48
1|subject_id[ET_115],-0.143,0.024,-0.189,-0.101,0.009,0.003,8.0,25.0,1.46
1|subject_id[ET_116],-0.152,0.024,-0.199,-0.111,0.009,0.003,8.0,30.0,1.44
1|subject_id[ET_117],-0.131,0.024,-0.176,-0.09,0.009,0.003,8.0,18.0,1.47
1|subject_id[ET_118],-0.083,0.023,-0.129,-0.041,0.008,0.003,8.0,21.0,1.44
1|subject_id[ET_119],0.314,0.024,0.265,0.353,0.009,0.004,8.0,13.0,1.47
1|subject_id[ET_12],-0.018,0.024,-0.065,0.025,0.009,0.004,8.0,18.0,1.48
1|subject_id[ET_13],-0.068,0.024,-0.115,-0.025,0.008,0.003,8.0,27.0,1.42
1|subject_id[ET_14],-0.03,0.024,-0.076,0.012,0.009,0.003,7.0,22.0,1.52
1|subject_id[ET_15],-0.017,0.026,-0.067,0.027,0.01,0.004,7.0,21.0,1.51
1|subject_id[ET_16],-0.024,0.025,-0.071,0.019,0.009,0.004,7.0,15.0,1.5
1|subject_id[ET_17],-0.04,0.024,-0.084,0.006,0.009,0.004,8.0,14.0,1.5
1|subject_id[ET_18],0.106,0.024,0.058,0.147,0.009,0.004,8.0,17.0,1.48
1|subject_id[ET_20],-0.276,0.024,-0.326,-0.235,0.009,0.004,8.0,18.0,1.48
1|subject_id[ET_21],0.02,0.025,-0.031,0.064,0.01,0.004,7.0,17.0,1.52
1|subject_id[ET_22],0.03,0.023,-0.013,0.071,0.009,0.003,8.0,18.0,1.49
1|subject_id[ET_23],0.056,0.024,0.006,0.097,0.009,0.003,8.0,29.0,1.47
1|subject_id[ET_24],0.054,0.023,0.007,0.093,0.009,0.003,8.0,14.0,1.49
1|subject_id[ET_25],0.089,0.023,0.042,0.13,0.009,0.003,7.0,20.0,1.5
1|subject_id[ET_26],-0.108,0.024,-0.156,-0.067,0.009,0.003,8.0,18.0,1.47
1|subject_id[ET_28],0.079,0.023,0.038,0.121,0.008,0.002,8.0,44.0,1.45
1|subject_id[ET_29],-0.109,0.024,-0.152,-0.067,0.009,0.003,8.0,30.0,1.48
1|subject_id[ET_31],-0.139,0.024,-0.186,-0.095,0.009,0.004,8.0,19.0,1.43
1|subject_id[ET_32],-0.345,0.025,-0.395,-0.3,0.009,0.004,8.0,18.0,1.49
1|subject_id[ET_33],0.225,0.024,0.176,0.269,0.009,0.004,8.0,15.0,1.46
